id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46651362,Rural Farm House on the outskirts of Gordon's Bay,42528522,Hanna,,Ward 100,-34.12924,18.89915,Entire home/apt,5500,2,5,2022-03-21,0.90,1,328,5,
46654741,Welterusten Guesthouse - Green Leaves,376719619,Johan,,Ward 83,-34.1117,18.82664,Private room,1100,1,0,,,5,354,0,
46654742,Welterusten Guesthouse - Cottage Pie,376719619,Johan,,Ward 83,-34.11151,18.82673,Private room,1100,1,0,,,5,343,0,
46654743,Welterusten Guesthouse - Cosy Corner,376719619,Johan,,Ward 83,-34.11318,18.82684,Private room,1120,1,1,2020-12-28,0.07,5,349,0,
46654745,Welterusten Guesthouse - Mountain View,376719619,Johan,,Ward 83,-34.11327,18.82856,Private room,1200,1,0,,,5,239,0,
46654746,Welterusten Guesthouse - Blue Raven,376719619,Johan,,Ward 83,-34.11103,18.82883,Private room,560,1,4,2021-12-05,0.82,5,300,4,
46654931,Vintage Glampervan on scenic farm with sea views,81126329,Joanna,,Ward 100,-34.13129,18.8934,Entire home/apt,350,2,17,2022-01-09,1.08,1,160,14,
46669665,180-degree sea view 3 bed apartment,47451884,Gina,,Ward 115,-33.91328,18.40065,Entire home/apt,2500,7,1,2021-01-03,0.07,1,357,0,
46669952,Surfers Sea Loft - Empire Apartments,217413211,Belinda,,Ward 64,-34.10851,18.46964,Entire home/apt,2806,2,8,2022-01-08,0.57,21,336,3,
46670114,Villa Palma Camps Bay,377195490,Adrian,,Ward 54,-33.95243,18.38377,Entire home/apt,15000,5,0,,,1,83,0,
46672641,"SUNBIRD COTTAGE Kommetjie, with huge garden & pool",69314113,Emma,,Ward 61,-34.13962,18.33273,Entire home/apt,1650,2,26,2022-03-16,1.74,1,301,20,
46684889,Tranquil mountain retreat,125583875,Michael,,Ward 74,-34.01373,18.40316,Entire home/apt,2200,2,0,,,1,0,0,
46685416,Peloha Cottage - PeaceLoveHarmony,37440646,Ryan,,Ward 74,-34.0261,18.36901,Entire home/apt,1100,3,1,2021-01-04,0.07,3,356,0,
46685710,Scaroborough Nature Retreat,377307576,Kerstin,,Ward 61,-34.20022,18.38269,Entire home/apt,3650,5,8,2022-02-07,0.53,3,97,6,
46685918,Scarborough Nature Retreat Ecopool,377307576,Kerstin,,Ward 61,-34.20165,18.38164,Entire home/apt,1950,4,0,,,3,343,0,
46686889,Scarborough Nature Retreat HillTop,377307576,Kerstin,,Ward 61,-34.19693,18.37688,Entire home/apt,3121,4,6,2022-02-16,0.41,3,306,4,
46686928,Cosy Bedroom,377314901,Suhail,,Ward 27,-33.91215,18.54507,Private room,400,3,0,,,1,180,0,
46688450,Sunset on Soluta,82220893,Michelle,,Ward 4,-33.85097,18.49088,Entire home/apt,2499,6,1,2022-01-01,0.35,2,55,1,
46688798,"THE OLD MILL, BOSTING SUPERB ELEGANCE",11858790,Emma,,Ward 62,-34.00538,18.46391,Entire home/apt,4500,3,1,2021-03-15,0.08,16,351,0,
46690034,Modern Penthouse apartment in the City,354946351,Keith,,Ward 115,-33.93577,18.41325,Entire home/apt,5000,21,0,,,1,347,0,
46690271,"The foot of table mountain, gardens all close by",188985555,Mymona,,Ward 77,-33.93039,18.43521,Private room,350,7,0,,,3,363,0,
46690273,The Sages' Room,6871685,Madelein In Good Company,,Ward 2,-33.89794,18.61806,Private room,200,60,2,2021-10-26,0.33,8,331,2,
46691003,Upstairs @ the sea,292099579,Elrina,,Ward 83,-34.1129,18.82422,Entire home/apt,650,1,32,2022-03-15,2.07,1,349,24,
46691296,Fully equipped room in modern home,377358893,Wesley,,Ward 113,-33.81096,18.51574,Private room,450,1,0,,,1,179,0,
46691719,"Leisure Bay, Lagoon Beach, beach, views, sunsets!",64649266,Roy,,Ward 55,-33.89489,18.48139,Entire home/apt,1100,3,10,2022-03-16,0.67,1,77,9,
